0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
ACCESSORY:GLASSES,ACCESSORY:HEADWEAR,AGE:LESS10,AGE:10to12(TWEENS),AGE:13to14(EARLY TEENS),AGE:15to17(MID TEENS),AGE:18to19(LATE TEENS),AGE:20to23(EARLY 20S),AGE:24to26(MID 20S),AGE:27to29(LATE 20S),AGE:30to33(EARLY 30S),AGE:34to36(MID 30S),AGE:37to39(LATE 30S),AGE:40to43(EARLY 40S),AGE:44to46(MID 40S),AGE:47to49(LATE 40S),AGE:50to53(EARLY 50S),AGE:54to56(MID 50S),AGE:56to59(LATE 50S),AGE:ABOVE60,GENDER:MALE,GENDER:FEMALE,MAKEUP:Y,MAKEUP:N,FACIALHAIR:MOUSTACHE:Y,FACIALHAIR:MOUSTACHE:N,FACIALHAIR:BEARD:Y,FACIALHAIR:BEARD:N,HAIR:BLACK,HAIR:BROWN,HAIR:BLOND,HAIR:GRAY,HAIR:RED,HAIR:OTHER,BOLD,RANDOM
"You look hot in those glasses, but it will give you a bad luck. Just throw it away and buy a new one. Ray-Ban is on sale now.","If you wear that hat again tomorrow, you'll be very lucky and find $20 on 8th Street.",,"Stay away from hairspray and lighters, kid. It is sure all fun and games until someone calls a lawyer.","No one cares if you’re an idiot on the Internet, so you have at least 675 more chances to make things right. Teenager.","You still have a whole box of “Woo Hoo!” to use up, plus a truckload of “Oh crap.” Don't worry, you're still a baby.","You still have a whole box of “Woo Hoo!” to use up, plus a truckload of “Oh crap.” Don't worry, you're not even 20 yet.","You’re gonna microwave the remote control, and try to change the TV channel with a frozen burrito. Either get more sleep, or better hallucinations. You're only in early 20s.","Welcome to the real world, you're in mid 20s. It sucks. You're gonna love it.","Sometimes you just can’t believe you're only in late 20s with normal things like a mortgage, a job, and an overwhelming desire to drive off a cliff.","Your doctor tell me you have the body of an early 30s person. But I know you have the brain of a fifteen years old. If you've got both, you can play baseball.",Your phone battery will last longer than your relationship. Better look for a serious relationship. You're in your mid 30s now.,"You're in your late 30s now. If you don't like your job you strike, you just go in every day and do it really half-assed. That's the American way.","You're in your early 40s now. If you don't like your job you strike, you just go in every day and do it really half-assed. That's the American way.","You're in mid 40s. Traumatic change must be experienced, no matter what the cost. Just like health insurance and pharmaceutical companies.","You're in late 40s. Traumatic change must be experienced, no matter what the cost. Just like health insurance and pharmaceutical companies.","You're in early 50s. Traumatic change must be experienced, no matter what the cost. Just like health insurance and pharmaceutical companies.","You're in mid 50s. Traumatic change must be experienced, no matter what the cost. Just like health insurance and pharmaceutical companies.","You're in late 50s. Traumatic change must be experienced, no matter what the cost. Just like health insurance and pharmaceutical companies.","You're old. Traumatic change must be experienced, no matter what the cost. Just like health insurance and pharmaceutical companies.",I know you’re not going to do anything except watch football and eat heart-attack inducing foods for the next five months.,"Don't lay on the beach next summer. People will try to push you back to the ocean. Yes girl, gotta work harder on your diet.","It’s okay: you can be grateful for putting on some make up, so long as you’re not relying on botox, oxys, and air brush to cope with Cover Girl commercials.",You’re welcome to put some make up; you look like the second week of the garbage strike.,"I know you’re not going to do anything except watch football, grow your moustache, and eat heart-attack inducing foods for the next five months.",,"I know you’re not going to do anything except watch football, grow your beard, and eat heart-attack inducing foods for the next five months.",,I like your black hair and your smile. Apparently a smile is your passport into the hearts of others.,I like your brown hair and your smile. Apparently a smile is your passport into the hearts of others.,I like your blonde hair and your smile. Apparently a smile is your passport into the hearts of others.,I like your gray hair and your smile. Apparently a smile is your passport into the hearts of others.,I like your red hair and your smile. Apparently a smile is your passport into the hearts of others.,I like your hair color and your smile. Apparently a smile is your passport into the hearts of others.,Your bald head make you look smart because everyone thinks you think so hard. But it doesn't mean you're qualified to teach or lead others.,Look in the back of left pocket of the pants you were wearing 3 days ago. There’s a $10 inside.
"Based on your glasses, you're very talented in many ways. It's just you don't look good in those glasses.",You learn from your mistakes... You will learn a lot today if you're wearing that hat.,,"Knowing all the answers won’t win you points, but stumping the teacher with some questions of your own might do the trick.",Never trouble trouble till trouble troubles you. Teenager.,"If you don’t succeed, try, try, try again. After the fourth try, however, you should kick back and have a beer. Oh sorry, you're uderage.","If you don’t succeed, try, try, try again. After the fourth try, however, you should kick back and have a beer. Oh sorry, you're uderage.","Dance like no one’s watching, sing like you’re in the shower, but text like your grandmother is reading every single one. Be wise, you're over 20.","You're in mid 20s, that's old enough. Enjoy being able to make a decision – because just like a bipartisan law, it isn’t going to last long.","You're in late 20s, that's old enough. Enjoy being able to make a decision – because just like a bipartisan law, it isn’t going to last long.","You're in early 30s. Traumatic change must be experienced, no matter what the cost. Just like health insurance and pharmaceutical companies.","You're in mid 30s. Traumatic change must be experienced, no matter what the cost. Just like health insurance and pharmaceutical companies.","You're in late 30s. Traumatic change must be experienced, no matter what the cost. Just like health insurance and pharmaceutical companies.","You're in early 40s. Traumatic change must be experienced, no matter what the cost. Just like health insurance and pharmaceutical companies.","Instead of selling your soul to the devil for a buck, consider contemplating who you are without titles or material objects. You're in mid 40s.","Instead of selling your soul to the devil for a buck, consider contemplating who you are without titles or material objects. You're in late 40s.","Instead of selling your soul to the devil for a buck, consider contemplating who you are without titles or material objects. You're in early 50s.",You’re looking good and feeling young on Wednesday even though you're in mid 50s. That new shirt will earn you some free drinks and envious glares from everyone in the office. ,You’re looking good and feeling young on Wednesday even though you're in late 50s. That new shirt will earn you some free drinks and envious glares from everyone in the office. ,You’re looking good and feeling young on Wednesday. That new shirt will earn you some free drinks and envious glares from everyone in the office. ,"Make a lifestyle change for better health now, else you might wind-up looking like Trump on a taco diet by Thanksgiving.",There’s a way of transferring funds that is even faster than electronic banking. It’s called being married to a rich man.,Your make up doesn’t make you attractive: it just makes your bitchiness irresistible to fellow indecisives and Pottery Barn patrons.,You know you don't need make up because Instagram has new filters. But a selfie sent to a stranger can end-up super bad.,Take some time to relax and de-stress before you end up curling your moustache and dying it red.,,Take some time to relax and de-stress before you end up curling your beard and dying it red.,,"Of course you’re busy and stressed, but take a hint when your friends say your black hair looks just like the fur on that dead chipmunk the cat brought in this morning.","Of course you’re busy and stressed, but take a hint when your friends say your brown hair looks just like the fur on that dead chipmunk the cat brought in this morning.","Of course you’re busy and stressed, but take a hint when your friends say your blond hair looks just like the fur on that dead chipmunk the cat brought in this morning.","Of course you’re busy and stressed, but take a hint when your friends say your gray hair looks just like the fur on that dead chipmunk the cat brought in this morning.","Of course you’re busy and stressed, but take a hint when your friends say your red hair looks just like the fur on that dead chipmunk the cat brought in this morning.","Of course you’re busy and stressed, but take a hint when your friends say your hair looks just like the fur on that dead chipmunk the cat brought in this morning.","Some shine like a diamond, but you shine like a fresh sheet of aluminum foil. Like your head.","Remember: You can do anything you want, go anywhere you like. The only thing stopping you is your mind. Set yourself free! There are no limi"
Half of being smart is knowing what you're dumb about. You look smart on those glasses.,Any decision you have to make tomorrow is a good decision. Just don't forget to wear that hat again tomorrow.,,,"Stay away from hairspray and lighters, kid. It is sure all fun and games until someone calls a lawyer.","No one cares if you’re an idiot on the Internet, so you have at least 675 more chances to make things right. Teenager.","No one cares if you’re an idiot on the Internet, so you have at least 675 more chances to make things right. Teenager.","You’re like Taylor Swift without a breakup; you’re feeling uninspired. Grow up, you're over 20.","If you really can’t handle a stress-free day, hire a teenager to follow you around and comment on your decisions. It's okay even you're in mid 20s.","Do something real to help heal the world, like protecting children from being sold as sex slaves. You're almost 30.","Instead of selling your soul to the devil for a buck, consider contemplating who you are without titles or material objects. You're over 30.","Instead of selling your soul to the devil for a buck, consider contemplating who you are without titles or material objects. You're over 30.","Instead of selling your soul to the devil for a buck, consider contemplating who you are without titles or material objects. You're in late 30s.","Instead of selling your soul to the devil for a buck, consider contemplating who you are without titles or material objects. You're in early 40s.",You’re looking good and feeling young on Wednesday even though you're in mid 40s. That new shirt will earn you some free drinks and envious glares from everyone in the office. ,You’re looking good and feeling young on Wednesday even though you're in late 40s. That new shirt will earn you some free drinks and envious glares from everyone in the office. ,You’re looking good and feeling young on Wednesday even though you're in early 50s. That new shirt will earn you some free drinks and envious glares from everyone in the office. ,"You may be on the right track, but you’ve completely forgotten which train you were chasing. You're in midlife crisis.","You may be on the right track, but you’ve completely forgotten which train you were chasing. You're in midlife crisis.","You may be on the right track, but you’ve completely forgotten which train you were chasing. You're in midlife crisis.",Organize your living space instead of the supplies of your video game characters. You're a big man.,"It’s okay: you can be grateful for being beautiful, so long as you’re not relying on botox, oxys, and air brush to cope with Cover Girl commercials.","On Thursday, you stand out more than a game of Where’s Waldo at a nudist colony. Don't put too much make up.",This week you may want to look your best and put on some make up because someone has noticed how hot you are.,"Now is the time to try something new. Like, braiding your moustache.",,"Now is the time to try something new. Like, braiding your beard.",,Take some time to relax and de-stress before you end up mopping the floor with your black hair.,Take some time to relax and de-stress before you end up mopping the floor with your brown hair.,Take some time to relax and de-stress before you end up mopping the floor with your blond hair.,Take some time to relax and de-stress before you end up mopping the floor with your gray hair.,Take some time to relax and de-stress before you end up mopping the floor with your red hair.,"Your colored hair is telling me you’re feeling out of touch, like an 8-track tape in a streaming podcast world.",Your bald head is telling me that seven is an important number on Wednesday. Could be how many millions you win in the lottery or how many parking tickets you receive.,"Always try to learn from other people's mistakes, not your own. It is much cheaper that way."
Your glasses make you look smart. But it doesn't mean you're qualified to teach or lead others.,The cooler you think you are the dumber you look. Especially with that hat.,,,,"Remember this: duct tape can fix anything, so don't worry about messing things up. You're still a teenager.","Remember this: duct tape can fix anything, so don't worry about messing things up. You're still a teenager.","The best things in life are free, but the really cool stuff requires cash. Make money, you're over 20.","Relax. It isn’t your job to keep the world spinning because you're only in your mid 20s, you just need to give it a freewheeling slap every now and then.","If you really can’t handle a stress-free day, hire a teenager to follow you around and comment on your decisions. It's okay even you're in late 20s.","Do something real to help heal the world, like protecting children from being sold as sex slaves. You're an in early 30s, that's an adult.","If you really can’t handle a stress-free day, hire a teenager to follow you around and comment on your decisions. It's okay even you're in mid 30s.","Relax. It isn’t your job to keep the world spinning because you're only in your late 30s, you just need to give it a freewheeling slap every now and then.",You’re looking good and feeling young on Wednesday even though you're in early 40s. That new shirt will earn you some free drinks and envious glares from everyone in the office. ,You seem relax for mid 40s. Either you’ve found inner peace or you’ve simply forgotten everything you were supposed to do today. ,"You may be on the right track, but you’ve completely forgotten which train you were chasing. You're in midlife crisis.","You may be on the right track, but you’ve completely forgotten which train you were chasing. You're in midlife crisis.","When you feel like your life is spinning in circles, just pop the lid and get out of the blender. Midlife crisis.","When you feel like your life is spinning in circles, just pop the lid and get out of the blender. Midlife crisis.",,"Instead of selling your soul to the devil for a buck, consider contemplating who you are without titles or material objects.",You know Instagram has new filters but a selfie sent to a stranger can end-up super bad.,"On Thursday, remember this: skinny jeans, too much make up and Mexican food don’t mix. Wear something loose so you aren’t caught in a Chinese finger trap of denim.",You have an unusually magnetic personality. Not because you put too much make up.,Any decision you have to make tomorrow is a good decision. As long as you don't shave your moustache tonight.,,Any decision you have to make tomorrow is a good decision. As long as you don't shave your beard tonight.,,"Your black hair is telling me you're feeling lost in the universe. It's alright, no one else knows what the heck they’re doing, either.","Your brown hair is telling me you're feeling lost in the universe. It's alright, no one else knows what the heck they’re doing, either.","Your blond hair is telling me you're feeling lost in the universe. It's alright, no one else knows what the heck they’re doing, either.","Your gray hair is telling me you're feeling lost in the universe. It's alright, no one else knows what the heck they’re doing, either.","Your red hair is telling me you're feeling lost in the universe. It's alright, no one else knows what the heck they’re doing, either.",Your colored hair is telling me that there are two ways to overcome wanting what you can’t have: work or vodka.,Your bald head is telling me that there are two ways to overcome wanting what you can’t have: work or vodka.,"If you find yourself in a confusing situation, simply laugh knowingly and walk away."
"You see an opportunity, but it doesn’t see you. Walk up to it, put your glasses on it.",A new wardrobe brings great joy and change to your life. Buy new hat.,,,,Never trouble trouble till trouble troubles you. Teenager.,You don't need the answers to all of life's questions. Just ask your father what to do. You're still a baby.,"You still have a whole box of “Woo Hoo!” to use up, plus a truckload of “Oh crap.” Don't worry, you're still in early 20.","You’re gonna microwave the remote control, and try to change the TV channel with a frozen burrito. Either get more sleep, or better hallucinations. You're only in mid 20s.","Relax. It isn’t your job to keep the world spinning because you're only in your late 20s, you just need to give it a freewheeling slap every now and then.","If you really can’t handle a stress-free day, hire a teenager to follow you around and comment on your decisions. It's okay even you're in early 30s.","Relax. It isn’t your job to keep the world spinning because you're only in your mid 30s, you just need to give it a freewheeling slap every now and then.","It takes a big person to admit they’re wrong, but you’re still shopping in the juniors department even though you're in late 30s.",You're over 40 and need cash? Maybe you could stuff your shirt with balloons and get a job at Hooters.,"The road of life always has a few bumps. You can do it, you’re a master of Mario Kart. You're mid 40s in a body of teens.",You seem relax for late 40s. Either you’ve found inner peace or you’ve simply forgotten everything you were supposed to do today. ,"When you feel like your life is spinning in circles, just pop the lid and get out of the blender. Midlife crisis.","The kids are back in school, so you can catch up on all those racy movies you’ve been saving on Netflix.","The kids are back in school, so you can catch up on all those racy movies you’ve been saving on Netflix.",,"If you find yourself talking and walking like Kim Jong Un, do not detonate the bombs of your inner life. Go on a diet and learn English instead.","GQ and Victoria’s Secret will only increase your facade of passion and pride, not your true charisma and creativity.",You know you don't need to put too much make up because Instagram has new filters. But a selfie sent to a stranger can end-up super bad.,,You have an unusually magnetic personality. Not because you have good looking moustache.,,You have an unusually magnetic personality. Not because you have good looking beard.,,Don’t be disappointed by a mediocre day. Unless your beautiful black hair will turn gray in no time.,Don’t be disappointed by a mediocre day. Unless your beautiful brown hair will turn gray in no time.,Don’t be disappointed by a mediocre day. Unless your beautiful blonde hair will turn gray in no time.,"Your gray hair is telling me you’re feeling out of touch, like an 8-track tape in a streaming podcast world.",Don’t be disappointed by a mediocre day. Unless your beautiful red hair will turn gray in no time.,,"I can see from your bald head that life drags you from place to place, but you’re in the driver’s seat most of the time.",Anyone who says money can’t buy happiness doesn’t know where to shop.
"Even though you wear glasses, you need to broaden your horizons and reel in a few more facts before someone hooks you with a tough question.","That look can still work for you, as long as you wear that headwear and do a few pratfalls.",,,,"Stay away from hairspray and lighters, kid. It is sure all fun and games until someone calls a lawyer.",Never trouble trouble till trouble troubles you. Teenager.,"Remember this: duct tape can fix anything, so don't worry about messing things up. You're just 20s.","Dance like no one’s watching, sing like you’re in the shower, but text like your grandmother is reading every single one. Be wise, you're over 20.","People say you’re an open book but frankly, you’re not even a one-sided pamphlet. Get serious, you're almost 30.","Relax. It isn’t your job to keep the world spinning because you're only in your early 30s, you just need to give it a freewheeling slap every now and then.","It takes a big person to admit they’re wrong, but you’re still shopping in the juniors department even though you're in mid 30s.",You’re looking good and feeling young on Wednesday even though you're in late 30s. That new shirt will earn you some free drinks and envious glares from everyone in the office. ,You seem relax for early 40s. Either you’ve found inner peace or you’ve simply forgotten everything you were supposed to do today. ,"Spicing things up in the bedroom is fine, but adding habenero to the whipped cream is not. You're not 20 anymore.","When you feel like your life is spinning in circles, just pop the lid and get out of the blender. Midlife crisis.",Finding your inner peace may be tougher than remembering where you left the remote.,,,,"You’ll be alone today, tomorrow, this week, and probably for the rest of 2018. The only way to push through this is to watch Adult Swim. Or find a girlfriend.","Stop pretending that you’re a passionate, creative person. We all know very well that you only use your fancy camera for selfies, and your true love is the remote control. Oh, woman.",This week you may want to look your best and put on some make up because someone has noticed how hot you are.,,Your moustache is a symbol of confidence. And the first step toward success is confidence. The second is having dirt on everyone else in the room.,,"Your beard is telling me your chance to become rich and famous happens at 10:15 a.m. on Friday. It’s also happening 300 miles away from you, so tough luck on that. ",,"Now is the time to try something new. Like, dying your black hair bright neon.","Now is the time to try something new. Like, dying your brown hair bright neon.","Now is the time to try something new. Like, dying your blond hair bright neon.",Someone else is watching your moves because of your pretty gray hair; if you play your mixtape just right you’ll end up with a hip-swaying sweetie.,"Your red hair is telling me you’re feeling out of touch, like an 8-track tape in a streaming podcast world.",,,"Check your bill, it may be added wrong."
Keep your eye out for someone special. But increase your glasses index lenses otherwise you'll miss that opportunity.,"Your hat is telling me that you need some “me” time, but even you don’t want to be with you right now.",,,,"Lighten up, because it’s not about winning; what matters is how you play the game. And who has the most followers on Twitter.","Stay away from hairspray and lighters, kid. It is sure all fun and games until someone calls a lawyer.","Your emotional currents are flowing powerfully now. Grow up, you're over 20.",You're in mid 20s and need cash? Maybe you could stuff your shirt with balloons and get a job at Hooters.,"Dance like no one’s watching, sing like you’re in the shower, but text like your grandmother is reading every single one. Be wise, you're almost 30.","It takes a big person to admit they’re wrong, but you’re still shopping in the juniors department even though you're in early 30s.",You’re looking good and feeling young on Wednesday even though you're in mid 30s. That new shirt will earn you some free drinks and envious glares from everyone in the office. ,"People say you’re an open book but frankly, you’re not even a one-sided pamphlet. Get serious, you're over 30.","No need to raise everyone’s expectations for you now, so set the bar low. If you’re in your own underwear and you’re still breathing, you’re good. Don't worry about being 40s.","The kids are back in school, so you can catch up on all those racy movies you’ve been saving on Netflix.","The kids are back in school, so you can catch up on all those racy movies you’ve been saving on Netflix.","The kids are back in school, so you can catch up on all those racy movies you’ve been saving on Netflix.",,,,Someone at work may hit on you this week. Learn about the real ingredients in mustard from her. That could be useful.,"You’ll be alone today, tomorrow, this week, and probably for the rest of 2018. The only way to push through this is to watch Adult Swim. Or find a boyfriend.","You don’t have to be beautiful or put too much make up to get ahead in this world, but it does distract the idiots so you can get things done. ",,"If you don’t succeed, the Internet loves an epic fail, so put curl that moustache and create your first vlog on YouTube.",,"You want to dance like no one is watching, but deep down you know the dog is silently judging you. Grow your beard to boost your confidence.",,Any decision you have to make tomorrow is a good decision. As long as you don't dye your black hair tonight.,Any decision you have to make tomorrow is a good decision. As long as you don't dye your brown hair tonight.,Any decision you have to make tomorrow is a good decision. As long as you don't dye your blond hair tonight.,,Someone else is watching your moves because of your pretty red hair; if you play your mixtape just right you’ll end up with a hip-swaying sweetie.,,,"If you don't know what to say, just be like ""that's hot."""
"That look can still work for you, as long as you wear those glasses and do a few pratfalls.",Take your head out of that headwear and everything will be Dolby Digital-perfect.,,,,,"There are two ways to overcome wanting what you can’t have: work or vodka. Oh wait, you're underage.","Broke is only temporary, poor is a state of mind. But you need to make money to live your 20s.","You take the good, you take the bad, you take them both because they’re in a clearance bin. Quarter life crisis.",You're almost 30 and need cash? Maybe you could stuff your shirt with balloons and get a job at Hooters.,"People say you’re an open book but frankly, you’re not even a one-sided pamphlet. Get serious, you're over 30.","People say you’re an open book but frankly, you’re not even a one-sided pamphlet. Get serious, you're over 30.",You're almost 40 and need cash? Maybe you could stuff your shirt with balloons and get a job at Hooters.,"Spicing things up in the bedroom is fine, but adding habenero to the whipped cream is not. You're not 20 anymore.",,,,,,,Feeling upset? Go to your friend's house and drink their beers.,"This week, you’ll be like you are every week: like Tammy Faye Bakker trying to get Johnny Depp to play Jesus: you know, a manipulative…",Maybe you could stuff your shirt with balloons and put some make up to get a job at Hooters.,,"I can tell from your moustache something burns deep within you. Could be a new passion, or it could be last night’s Sriracha chili.",,"Your moment in the spotlight is coming, so make sure your socks & shoes match and check your beard for spinach.",,"Your black hair is telling me you’re feeling out of touch, like an 8-track tape in a streaming podcast world.","Your brown hair is telling me you’re feeling out of touch, like an 8-track tape in a streaming podcast world.","Your blond hair is telling me you’re feeling out of touch, like an 8-track tape in a streaming podcast world.",,,,,"If you find yourself in a confusing situation, simply laugh knowingly and walk away."
"If you think part of your life is missing, put on your glasses before you make a big deal out of it.",Your headwear is telling me something has been niggling in the back of your mind and eating your brain.,,,,,Be an adult. You have to solve the problem on your own without the help of Google.,They say you are stubborn; you call it persistence. You're only 20 and naive.,"Quarter life crisis. Forget the pot of gold at the end of the rainbow; you’ll find a fast food coupon at the end of the street, which is much better.","Quit living under a rock, you're almost 30; that’s only suitable for pink starfish wearing boxer shorts.","Dance like no one’s watching, sing like you’re in the shower, but text like your grandmother is reading every single one. Be wise, you're over 30.","Dance like no one’s watching, sing like you’re in the shower, but text like your grandmother is reading every single one. Be wise, you're over 30.","Quit living under a rock, you're almost 40; that’s only suitable for pink starfish wearing boxer shorts.",,,,,,,,"Love is in the air this week, you might need to impress her. Buy an air freshener and some antiseptic for extra comfort.","A loved one may be butting their nose where it doesn’t belong, and that doesn’t mean your butt. Watch out for your man.","Your make up looks gorgeous, but apparently your tongue is your ambassador.",,,,,,Someone else is watching your moves because of your pretty dark hair; if you play your mixtape just right you’ll end up with a hip-swaying sweetie.,Someone else is watching your moves because of your pretty brown hair; if you play your mixtape just right you’ll end up with a hip-swaying sweetie.,Someone else is watching your moves because of your pretty blonde hair; if you play your mixtape just right you’ll end up with a hip-swaying sweetie.,,,,,Be thankful for anything other than Holiday binge eating… Anything at all.
